id,병원이름,주소,응급의료기관 종류,전화번호 1,전화번호 3,위도,경도,지역
0,(의)내경의료재단울산제일병원,울산광역시 남구 남산로354번길 26 (신정동),응급실운영신고기관,052-220-3300,052-220-3334,35.54823820112527,129.30701143429678,Youngnam
1,(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,지역응급의료기관,051-723-0171,051-723-2119,35.23602946449906,129.21649161387128,Youngnam
2,(의)성세의료재단 뉴성민병원,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",지역응급의료기관,032-726-1000,032-726-1190,37.5089936801167,126.669478649026,Seoul_Gyungi
3,(의)영문의료재단다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",지역응급의료센터,031-8021-2114,031-8021-2130,37.234641294534285,127.21049868474802,Seoul_Gyungi
4,(의)효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81 (고림동),지역응급의료기관,031-337-0114,031-336-0119,37.240316373,127.2144914405,Seoul_Gyungi
5,(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",지역응급의료기관,053-790-1000,053-790-0555,35.84022544517349,128.70573339664242,Youngnam
6,KS병원,광주광역시 광산구 왕버들로 220 (수완동),지역응급의료센터,062-975-9000,062-975-9119,35.197963178976366,126.83322475289852,Honam
7,가톨릭관동대학교국제성모병원,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",지역응급의료센터,1600-8291,032-290-3065,37.54237265391807,126.6836048687878,Seoul_Gyungi
8,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (부평동),지역응급의료센터,032-280-6364,032-280-6107,37.4845586499062,126.724708130675,Seoul_Gyungi
9,가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",지역응급의료센터,032-1577-0675,032-340-2100,37.4874477394264,126.79243459155,Seoul_Gyungi
10,가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),지역응급의료센터,031-1577-8588,031-249-7370,37.27792234538125,127.02744945028702,Seoul_Gyungi
11,가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",지역응급의료센터,1661-7575,02-3779-1188,37.51827233800711,126.93673129599132,Seoul_Gyungi
12,가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),지역응급의료센터,02-1811-7755,02-1811-7755,37.63360840972685,126.91615048739686,Seoul_Gyungi
13,가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",권역응급의료센터,1661-7500,031-820-5200,37.75865547828227,127.07767290194454,Seoul_Gyungi
14,강남고려병원,서울특별시 관악구 관악로 242 (봉천동),응급실운영신고기관,1661-8267,02-874-7227,37.4856188363947,126.956781703053,Seoul_Gyungi
15,강남더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",응급실운영신고기관,02-1661-1177,070-4676-5002,37.5009902618151,127.050967336445,Seoul_Gyungi
16,강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",응급실운영신고기관,1544-7522,1544-7522,37.48561217992573,127.0395873429168,Seoul_Gyungi
17,강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",지역응급의료센터,031-300-0114,031-300-0119,37.27377983891884,127.11140719951388,Seoul_Gyungi
18,강남종합병원,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",지역응급의료기관,053-980-9000,053-980-9018,35.88300855242191,128.66345602650745,Youngnam
19,강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",응급실운영신고기관,02-853-4600,02-853-9100,37.4816513439454,126.911648078471,Seoul_Gyungi
20,강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),권역응급의료센터,02-440-7114,02-440-7000,37.5520459324005,127.157084787845,Seoul_Gyungi
