id,address,emergency_medical_institution_type,hospital_name,latitude,longitude,phone_number1,phone_number3,region
0,울산광역시 남구 남산로354번길 26 (신정동),응급실운영신고기관,(의)내경의료재단울산제일병원,35.54823820112527,129.30701143429678,052-220-3300,052-220-3334,Youngnam
1,부산광역시 기장군 기장읍 대청로72번길 6,지역응급의료기관,(의)서일의료재단기장병원,35.23602946449906,129.21649161387128,051-723-0171,051-723-2119,Youngnam
2,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",지역응급의료기관,(의)성세의료재단 뉴성민병원,37.5089936801167,126.669478649026,032-726-1000,032-726-1190,Seoul_Gyungi
3,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",지역응급의료센터,(의)영문의료재단다보스병원,37.234641294534285,127.21049868474802,031-8021-2114,031-8021-2130,Seoul_Gyungi
4,경기도 용인시 처인구 고림로 81 (고림동),지역응급의료기관,(의)효심의료재단용인서울병원,37.240316373,127.2144914405,031-337-0114,031-336-0119,Seoul_Gyungi
5,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",지역응급의료기관,(재)미리내천주성삼성직수도회천주성삼병원,35.84022544517349,128.70573339664242,053-790-1000,053-790-0555,Youngnam
6,광주광역시 광산구 왕버들로 220 (수완동),지역응급의료센터,KS병원,35.197963178976366,126.83322475289852,062-975-9000,062-975-9119,Honam
7,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",지역응급의료센터,가톨릭관동대학교국제성모병원,37.54237265391807,126.6836048687878,1600-8291,032-290-3065,Seoul_Gyungi
8,인천광역시 부평구 동수로 56 (부평동),지역응급의료센터,가톨릭대학교 인천성모병원,37.4845586499062,126.724708130675,032-280-6364,032-280-6107,Seoul_Gyungi
9,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",지역응급의료센터,가톨릭대학교부천성모병원,37.4874477394264,126.79243459155,032-1577-0675,032-340-2100,Seoul_Gyungi
10,경기도 수원시 팔달구 중부대로 93 (지동),지역응급의료센터,가톨릭대학교성빈센트병원,37.27792234538125,127.02744945028702,031-1577-8588,031-249-7370,Seoul_Gyungi
11,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",지역응급의료센터,가톨릭대학교여의도성모병원,37.51827233800711,126.93673129599132,1661-7575,02-3779-1188,Seoul_Gyungi
12,서울특별시 은평구 통일로 1021 (진관동),지역응급의료센터,가톨릭대학교은평성모병원,37.63360840972685,126.91615048739686,02-1811-7755,02-1811-7755,Seoul_Gyungi
13,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",권역응급의료센터,가톨릭대학교의정부성모병원,37.75865547828227,127.07767290194454,1661-7500,031-820-5200,Seoul_Gyungi
14,서울특별시 관악구 관악로 242 (봉천동),응급실운영신고기관,강남고려병원,37.4856188363947,126.956781703053,1661-8267,02-874-7227,Seoul_Gyungi
15,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",응급실운영신고기관,강남더드림병원,37.5009902618151,127.050967336445,02-1661-1177,070-4676-5002,Seoul_Gyungi
16,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",응급실운영신고기관,강남베드로병원,37.48561217992573,127.0395873429168,1544-7522,1544-7522,Seoul_Gyungi
17,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",지역응급의료센터,강남병원,37.27377983891884,127.11140719951388,031-300-0114,031-300-0119,Seoul_Gyungi
18,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",지역응급의료기관,강남종합병원,35.88300855242191,128.66345602650745,053-980-9000,053-980-9018,Youngnam
19,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",응급실운영신고기관,강남힐병원,37.4816513439454,126.911648078471,02-853-4600,02-853-9100,Seoul_Gyungi
20,서울특별시 강동구 동남로 892 (상일동),권역응급의료센터,강동경희대학교의대병원,37.5520459324005,127.157084787845,02-440-7114,02-440-7000,Seoul_Gyungi
21,강원특별자치도 강릉시 사천면 방동길 38,권역응급의료센터,강릉아산병원,37.81842668503607,128.85771413305145,033-610-3114,033-610-3333,Seoul_Gyungi
22,경상남도 고성군 고성읍 중앙로 49,지역응급의료기관,강병원,34.97415924940364,128.32528942283565,055-673-0101,055-673-4848,Youngnam
23,서울특별시 종로구 새문안로 29 (평동),지역응급의료센터,강북삼성병원,37.56849763123383,126.96793805451702,02-2001-2001,02-2001-1000,Seoul_Gyungi
24,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",응급실운영신고기관,강북으뜸병원,37.6254205559935,127.026184524499,02-986-0334,02-986-0334,Seoul_Gyungi
25,"서울특별시 강서구 가로공원로 187, 나누리강서병원 지1층~7층 (화곡동)",응급실운영신고기관,강서케이병원,37.5373576230977,126.836699017573,02-1833-7530,02-6905-8585,Seoul_Gyungi
26,강원특별자치도 춘천시 백령로 156 (효자동),지역응급의료센터,강원대학교병원,37.87497158192399,127.74448573764938,033-258-2000,033-258-2245,Seoul_Gyungi
27,강원특별자치도 강릉시 경강로 2007 (남문동),지역응급의료기관,강원특별자치도강릉의료원,37.74931042017154,128.8887963251862,033-610-1200,033-610-1234,Seoul_Gyungi
28,강원특별자치도 삼척시 오십천로 418 (남양동),지역응급의료센터,강원특별자치도삼척의료원,37.44027922704624,129.16370014395005,033-572-1141,033-570-7431,Seoul_Gyungi
29,강원특별자치도 속초시 영랑호반길 3 (영랑동),지역응급의료센터,강원특별자치도속초의료원,38.21622784728713,128.5891194514502,033-630-6000,033-630-6036,Gangwon
